epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7888,1.59215,3.64942,1.39547,0.9287,0.31915,0.4524,0.31759,1.05512,2.67658,1.07627,0.00329932,0.00329932,0.00329932
2,57.4118,1.31466,1.33056,1.28189,0.90709,0.78107,0.78856,0.58654,0.89472,0.81453,1.0102,0.00661624,0.00661624,0.00661624
3,83.7974,1.218,0.99645,1.21651,0.90159,0.8391,0.91911,0.64201,1.00553,0.73087,1.04597,0.00991665,0.00991665,0.00991665
4,110.221,1.1189,0.85713,1.16126,0.78959,0.86987,0.93364,0.66329,0.85525,0.79977,0.98232,0.00992575,0.00992575,0.00992575
5,136.712,1.03302,0.7695,1.10844,0.85534,0.83859,0.91017,0.63967,0.91574,0.6857,1.01156,0.009901,0.009901,0.009901
6,163.099,0.97321,0.7148,1.08304,0.97213,0.97623,0.98197,0.77375,0.74384,0.51682,0.94387,0.00987625,0.00987625,0.00987625
7,189.434,0.93533,0.67204,1.06876,0.94688,0.97178,0.96694,0.79274,0.66789,0.49767,0.9061,0.0098515,0.0098515,0.0098515
8,215.809,0.89663,0.6448,1.04726,0.90143,0.96597,0.97985,0.80723,0.69952,0.49103,0.91917,0.00982675,0.00982675,0.00982675
9,242.182,0.87727,0.62322,1.04088,0.92006,0.97931,0.98425,0.79204,0.73911,0.51136,0.94359,0.009802,0.009802,0.009802
10,268.552,0.84148,0.59377,1.02245,0.97113,0.97438,0.97915,0.7915,0.73367,0.51654,0.93613,0.00977725,0.00977725,0.00977725
11,294.965,0.83259,0.57347,1.01917,0.95504,0.97414,0.98392,0.83072,0.60848,0.45723,0.88806,0.0097525,0.0097525,0.0097525
12,321.319,0.81541,0.55358,1.00752,0.94727,0.9704,0.98631,0.82534,0.62161,0.45741,0.89706,0.00972775,0.00972775,0.00972775
13,347.734,0.79964,0.54592,1.00313,0.96442,0.98049,0.98206,0.81917,0.64599,0.41861,0.89881,0.009703,0.009703,0.009703
14,374.028,0.7879,0.53533,1.00038,0.95896,0.98006,0.98443,0.8229,0.63962,0.41307,0.90378,0.00967825,0.00967825,0.00967825
15,400.183,0.78662,0.5217,0.99776,0.97492,0.98147,0.98506,0.83546,0.5757,0.38062,0.87831,0.0096535,0.0096535,0.0096535
16,426.524,0.76212,0.50529,0.98644,0.96184,0.96613,0.97907,0.79028,0.74364,0.48365,0.93507,0.00962875,0.00962875,0.00962875
